"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"2","ECB_00002",888.869364209023,1547.99759651514,229.741131902909,0.148411814346549,-2.75232215238454,0.00348062666782921,0.0179258496206079
"3","ECB_00003",379.452268590077,676.940498351657,81.9640388284971,0.12108012303604,-3.04596604860835,0.00852527548142949,0.0366448175168279
"4","ECB_00004",348.449212001069,678.089684552543,18.8087394495957,0.0277378345048962,-5.17200102904167,0.000391339043812513,0.00295625176278648
"17","ECB_00017",10.8149319521396,1.49383720992776,20.1360266943515,13.4793982641022,3.75268418927268,0.00922036480457228,0.0388094204873763
"18","ECB_00018",118.0775289774,67.3755683197474,168.779489635053,2.50505478238148,1.32484215368232,0.0424626552524658,0.126538712652348
"25","ECB_00025",2.46760187551592,0,4.93520375103184,Inf,Inf,0.0196702191758315,0.0708291808823067
"27","ECB_00027",597.226352154333,1130.24726102547,64.2054432831985,0.056806546228606,-4.13779899829542,2.010429184584e-07,4.64548904095585e-06
"29","ECB_00029",73.7328451492999,121.979327713587,25.4863625850131,0.208940015187297,-2.25883927800239,0.00708217410438658,0.0318108880509921
"30","ECB_00030",637.239983379658,1203.06498463614,71.4149821231787,0.0593608683115134,-4.07434399438689,6.89565097939292e-07,1.34216702170977e-05
"31","ECB_00031",137.697395670034,259.736852912495,15.6579384275726,0.0602838536464741,-4.05208454558362,2.08659138123477e-05,0.000246343206511351
"32","ECB_00032",18.3561911734909,35.0673144299711,1.64506791701061,0.0469117166156475,-4.41390789619793,0.000876607470851334,0.00586349981663872
"33","ECB_00033",120.780661155844,206.239136882541,35.3221854291473,0.171268101501338,-2.54567161883694,0.000100125537726487,0.00092642922594465
"38","ECB_00038",15.3865627895198,2.38762054103751,28.3855050380021,11.888616532704,3.57150893465264,0.00276173456786616,0.0149292347883677
"42","ECB_00042",7.72424003726374,0.553645891303657,14.8948341832238,26.9031783982923,4.74970472077616,0.0307542179121853,0.0992449407009355
"43","ECB_00043",110.528267082654,14.8827951954399,206.173738969869,13.8531597231843,3.79214316842249,4.82635321847512e-05,0.000494186546375142
"52","ECB_00052",133.213422750497,19.0398164733916,247.387029027603,12.993141471365,3.69967838150235,1.00206937364559e-05,0.000130419932636223
"53","ECB_00053",20.2762298128295,35.5878608751478,4.96459875051127,0.139502589602912,-2.84163619166729,0.0163227822763863,0.0610313763015446
"56","ECB_00056",52.1798742222777,83.5401243872044,20.819624057351,0.249217058390445,-2.00452527366418,0.0318165865021318,0.101536421690861
"57","ECB_00057",317.283130510903,537.917063234496,96.6491977873101,0.179673047004976,-2.47655409042852,0.00261384497560422,0.0143148594925042
"58","ECB_00058",340.357264646716,558.127109677738,122.587419615694,0.219640683081093,-2.1867827917134,0.00742006320653727,0.0329856925056045
"64","ECB_00064",52.0997175723446,5.14182369731444,99.0576114473748,19.265073498944,4.26791578497825,6.08300364834522e-07,1.20021272897259e-05
"65","ECB_00065",91.0260310280709,2.34535217858715,179.706709877555,76.6224840423799,6.25969589247807,3.96208156928581e-11,3.49390907364979e-09
"66","ECB_00066",183.627793710901,16.7460952270057,350.509492194796,20.9308192413444,4.38755687529581,8.74588380867218e-09,3.0232771149818e-07
"67","ECB_00067",406.55561306937,27.9265780664842,785.184648072256,28.1160350617603,4.81332125401867,7.87971750168555e-06,0.000106400810389948
"73","ECB_00073",418.918352746788,818.895963336244,18.940742157332,0.0231296074292099,-5.43411540995447,9.41216482221056e-11,6.45554987250346e-09
"74","ECB_00074",293.90361253821,577.259514383928,10.5477106924913,0.0182720430407253,-5.7742182356159,6.36381806611227e-11,4.74467325672289e-09
"75","ECB_00075",275.029618538489,524.725835580797,25.3334014961811,0.0482793104100556,-4.37245112004256,6.47818063251705e-08,1.79437298160937e-06
"76","ECB_00076",129.982319716609,227.696458492999,32.2681809402197,0.141715778777525,-2.81892769656962,0.001906242745855,0.011176221037774
"79","ECB_00079",116.370508871384,208.2767500754,24.4642676673683,0.117460387001966,-3.08975379861997,0.000588938002054475,0.00424841587124772
"82","ECB_00082",268.697180934227,127.107654982948,410.286706885506,3.22786780182947,1.69058149387266,0.00609598566350016,0.0280818273475311
"85","ECB_00085",291.909742879151,524.459473716164,59.3600120421373,0.113183220090448,-3.14326800674143,0.00016873922386751,0.00146704665257849
"86","ECB_00086",214.65490713751,410.75902756703,18.5507867079897,0.0451622130324634,-4.46874000719051,2.10334689619882e-07,4.8087629304101e-06
"87","ECB_00087",64.4507038040743,125.131055462967,3.77035214518178,0.0301312262669888,-5.05259680149872,2.04618613556895e-06,3.34907965598237e-05
"88","ECB_00088",126.224333976126,211.101782320812,41.3468856314399,0.195862323742037,-2.35208818874746,0.00837475417297169,0.0361873127814107
"89","ECB_00089",139.71763518978,241.104799117889,38.3304712616703,0.158978466633211,-2.65309672676962,0.000995504877873524,0.00645882368962687
"90","ECB_00090",46.5483554194584,77.3138603091646,15.7828505297523,0.204139988181154,-2.29236928096421,0.0255161945785831,0.0860717649711997
"91","ECB_00091",63.0661938296285,116.232585157714,9.89980250154311,0.0851723506632004,-3.55347102264544,0.00158028935179398,0.00953691381159466
"92","ECB_00092",144.459761959706,281.89472511226,7.02479880715168,0.0249199370593195,-5.32655576524597,5.06386609558027e-06,7.29365513300078e-05
"93","ECB_00093",121.88588340321,209.565117534237,34.2066492721824,0.163226827416037,-2.6150499015529,0.000339556855357504,0.00264842088808624
"94","ECB_00094",73.8510400564898,122.296262341006,25.4058177719738,0.207739936492362,-2.26714950441024,0.00990881043955353,0.0410901822546169
"95","ECB_00095",364.67661475857,608.500830599137,120.852398918002,0.198606793681793,-2.33201312134939,0.0303621847583503,0.0984208554694912
"96","ECB_00096",674.794473175531,1132.11906200731,217.469884343748,0.192091001416548,-2.38013815795469,0.00149643729206294,0.00914583527440447
