Entrez_GeneID,Symbol,LocusTag
944740,yjhR,b4308
944741,nfrA,b0568
944742,thrL,b0001
944743,insB1,b0021
944744,sspA,b3229
944745,yaaJ,b0007
944747,yaaX,b0005
944748,talB,b0008
944749,yaaA,b0006
944750,dnaK,b0014
944751,yaaI,b0013
944752,rhmR,b2248
944753,dnaJ,b0015
944754,insL1,b0016
944756,mokC,b0018
944757,nhaR,b0020
944758,nhaA,b0019
944759,rpsT,b0023
944760,mog,b0009
944761,ileS,b0026
944762,dapB,b0031
944763,ygdB,b2824
944764,yfjI,b2625
944765,caiT,b0040
944766,yaaU,b0045
944767,kefF,b0046
944768,mhpD,b0350
944769,idnD,b4267
944770,apaH,b0049
944771,yaaW,b0011
944772,apaG,b0050
944773,kefC,b0047
944774,sspB,b3228
944775,carB,b0033
944776,yabP,b4659
944777,ispH,b0029
944778,ftsA,b0094
944779,polB,b0060
944780,araC,b0064
944781,yadD,b0132
944782,yddE,b1464
944783,yabI,b0065
944784,thiP,b0067
944785,thiQ,b0066
944786,ftsZ,b0095
944788,sgrR,b0069
944789,wecB,b3786
944790,folA,b0048
944791,murE,b0085
944792,satP,b0010
944793,setA,b0070
944794,aceF,b0115
944795,caiF,b0034
944796,rihC,b0030
944797,aceK,b4016
944798,leuB,b0073
944799,ftsI,b0084
944800,lspA,b0027
944801,yfdC,b2347
944802,ydfJ,b4600
944803,ftsL,b0083
944804,cra,b0080
944805,acpP,b1094
944806,rsmH,b0082
944807,fkpB,b0028
944808,bcr,b2182
944809,yacL,b0119
944810,mraZ,b0081
944811,cfa,b1661
944812,surA,b0053
944813,murF,b0086
944814,mraY,b0087
944815,wzzE,b3785
944816,lpxC,b0096
944817,gpt,b0238
944818,murD,b0088
944819,htrE,b0139
944820,uidC,b1615
944821,secA,b0098
944822,nhaB,b1186
944823,ftsQ,b0093
944824,mutT,b0099
944826,serT,b0971
944827,pdhR,b0113
944828,yadM,b0138
944829,yadL,b0137
944830,gcd,b0124
944831,secM,b0097
944832,can,b0126
944833,yadG,b0127
944834,aceE,b0114
944835,yadK,b0136
944836,yadH,b0128
944837,yadC,b0135
944838,lpxB,b0182
944839,panB,b0134
944840,manA,b1613
944841,yadN,b0141
944842,hybA,b2996
944843,mrcB,b0149
944844,argF,b0273
944845,hrpB,b0148
944846,gluQ,b0144
944847,smrB,b2331
944848,ligT,b0147
944849,lpxA,b0181
944850,dksA,b0145
944851,ydhQ,b1664
944852,rnhB,b0183
944853,ybgA,b0707
944854,lpd,b0116
944855,sfsA,b0146
944856,fhuA,b0150
944857,erpA,b0156
944858,yciM,b1280
944859,yadV,b0140
944860,cdaR,b0162
944861,skp,b0178
944862,dapD,b0166
944863,glnD,b0167
944864,acnB,b0118
944865,lplA,b4386
944866,tsf,b0170
944867,argP,b2916
944868,yacH,b0117
944869,ybhD,b0768
944870,bamA,b0177
944871,rseP,b0176
944872,glnH,b0811
944873,zapD,b0102
944874,ispU,b0174
944875,yaeR,b0187
944876,cdsA,b0175
944877,dnaE,b0184
944878,sufD,b1681
944879,gmhB,b0200
944880,aspU,b0206
944881,gshA,b2688
944882,lpxD,b0179
944883,yjjJ,b4385
944884,ileV,b0202
944885,hscA,b2526
944886,caiC,b0037
944887,ldcC,b0186
944888,fabZ,b0180
944889,tilS,b0188
944890,alaV,b0203
944891,rof,b0189
944892,yaeF,b0193
944893,metQ,b0197
944894,metI,b0198
944895,accA,b0185
944896,metN,b0199
944897,rrsH,b0201
944898,rrfH,b0205
944899,yafL,b0227
944900,rrlH,b0204
944901,dkgB,b0207
944902,gloB,b0212
944903,yafS,b0213
944905,queA,b0405
944906,yafJ,b0223
944907,tdcR,b3119
944908,lfhA,b0229
944909,ffs,b0455
944910,yafK,b0224
944911,yafQ,b0225
944912,yafP,b0234
944913,rayT,b0228
944914,dinJ,b0226
944916,yafO,b0233
944917,insH1,b0656
944918,cyoD,b0429
944919,pdxA,b0052
944920,yafN,b0232
944921,lafU,b0230
944922,dinB,b0231
944923,pcm,b2743
944924,ykfJ,b0235
944925,yagE,b0268
944926,phoE,b0241
944927,ynfK,b1593
944928,yagF,b0269
944929,yafW,b0246
944930,ykfG,b0247
944931,yafX,b0248
944932,ydcK,b1428
944933,arpA,b4017
944934,yafY,b0251
944936,yciS,b1279
944937,yagA,b0267
944938,rlmF,b0807
944939,rsmA,b0051
944940,ykfC,b0258
944941,insH1,b0259
944942,insQ,b1432
944943,galM,b0756
944944,yagB,b0266
944945,ais,b2252
944946,insA,b0265
944947,yagG,b0270
944948,insF1,b0299
944949,yagH,b0271
944950,insB1,b0274
944951,insA,b0275
944952,insE1,b0298
944953,sodB,b1656
944954,mhpC,b0349
944955,ltaE,b0870
944956,ykgA,b0300
944957,eaeH,b0297
944958,panC,b0133
944959,yagM,b0279
944960,ykgM,b0296
944961,paoC,b0284
944962,ykgL,b0295
944963,hypF,b2712
944964,mltA,b2813
944965,ynjD,b1756
944966,ecpR,b0294
944967,ompX,b0814
944968,yahN,b0328
944969,yahM,b0327
944970,yahL,b0326
944971,dedD,b2314
944972,ybcF,b0521
944973,glsB,b1524
944974,rclC,b0301
944975,yahK,b0325
944976,yahJ,b0324
944977,sfmF,b0534
944978,gfcC,b0985
944979,eutH,b2452
944980,ykgF,b0307
944981,betI,b0313
944982,ftsP,b3017
944983,solA,b1059
944984,yahI,b0323
944985,yahO,b0329
944986,frmR,b0357
944987,prpR,b0330
944988,frmA,b0356
944989,pyrH,b0171
944990,prpB,b0331
944991,frmB,b0355
944993,yaiL,b0354
944994,codB,b0336
944996,codA,b0337
944997,mhpT,b0353
944999,pqiA,b0950
945000,dcuC,b0621
945001,cynR,b0338
945002,yaeI,b0164
945003,cusR,b0571
945004,pal,b0741
945005,opgG,b1048
945006,lacZ,b0344
945007,lacI,b0345
945008,mhpF,b0351
945009,insB1,b0988
945010,paoD,b0283
945011,lptD,b0054
945012,mhpE,b0352
945013,pepD,b0237
945014,yaiO,b0358
945016,yagI,b0272
945017,hemB,b0369
945019,dxr,b0173
945021,tauD,b0368
945022,dinI,b1061
945023,tusE,b0969
945024,renD,b0542
945025,insC1,b0360
945026,tauC,b0367
945027,tauB,b0366
945028,yqeG,b2845
945029,gfcA,b0987
945030,tauA,b0365
945031,aroL,b0388
945032,eno,b2779
945033,yaiI,b0387
945034,proC,b0386
945036,insF1,b0372
945037,yaiC,b0385
945038,yaiW,b0378
945040,psiF,b0384
945041,phoA,b0383
945042,brnQ,b0401
945043,yaiA,b0389
945044,phoR,b0400
945045,aroM,b0390
945046,phoB,b0399
945047,mhpB,b0348
945048,yaiE,b0391
945049,sbcD,b0398
945050,proY,b0402
945051,yajD,b0410
945052,yqgC,b2940
945053,ssrA,b2621
945054,nusB,b0416
945055,cvpA,b2313
945056,yjiT,b4342
945057,ispF,b2746
945058,yajR,b0427
945059,yfhR,b2534
945060,dxs,b0420
945061,yecA,b1908
945062,yfjU,b2638
945063,yajQ,b0426
945064,ispA,b0421
945065,panE,b0425
945066,yajL,b0424
945067,thiI,b0423
945068,gpmA,b0755
945069,xseB,b0422
945070,ybaY,b0453
945071,priC,b0467
945072,puuB,b1301
945073,cyoE,b0428
945074,tesB,b0452
945075,rutR,b1013
945076,leuC,b0072
945077,crl,b0240
945078,ratB,b2618
945079,betT,b0314
945080,cyoA,b0432
945081,tig,b0436
945082,clpP,b0437
945083,clpX,b0438
945084,amtB,b0451
945085,lon,b0439
945086,ygiB,b3037
945087,glnK,b0450
945088,mdlB,b0449
945089,cof,b0446
945090,ymgC,b1167
945091,ybaO,b0447
945092,mdlA,b0448
945093,ygaZ,b2682
945094,ybaZ,b0454
945095,ydiP,b1696
945096,maa,b0459
945097,adk,b0474
945098,hha,b0460
945099,htpG,b0473
945100,recR,b0472
945101,dps,b0812
945102,ftsK,b0890
945103,asr,b1597
945104,ybaB,b0471
945105,dnaX,b0470
945106,tomB,b0461
945107,argX,b3796
945108,acrB,b0462
945109,trpD,b1263
945110,ybgP,b0717
945111,ygaH,b2683
945112,acrA,b0463
945113,apt,b0469
945114,rhsH,b0499
945115,ybbC,b0498
945116,rhsD,b0497
945117,ydgH,b1604
945118,ybbP,b0496
945119,fsr,b0479
945120,ygcO,b2767
945121,yncI,b1459
945122,ybbA,b0495
945123,queD,b2765
945124,ybaP,b0482
945125,cmtB,b2934
945126,ybbJ,b0488
945127,tesA,b0494
945128,ompW,b1256
945129,glxK,b0514
945130,pmrD,b2259
945131,ybbY,b0513
945132,mscK,b0465
945133,ybbD,b0501
945134,allB,b0512
945135,tus,b1610
945136,nuoN,b2276
945137,fetB,b0491
945138,ybbW,b0511
945139,allS,b0504
945140,yniB,b1726
945141,allA,b0505
945142,thiM,b2104
945143,lpxM,b1855
945144,ybaM,b0466
945146,glxR,b0509
945147,ybcO,b0549
945148,xdhC,b2868
945149,allE,b0515
945150,allC,b0516
945151,ninE,b0548
945152,rplT,b1716
945153,purK,b0522
945154,rfbA,b2039
945155,ybcI,b0527
945156,ydgC,b1607
945158,ybcJ,b0528
945159,ydgI,b1605
945160,sfmD,b0532
945161,argU,b0536
945162,ybcN,b0547
945163,ybcM,b0546
945164,macB,b0879
945165,ybcL,b0545
945166,ybcK,b0544
945167,fau,b2912
945168,yfgI,b2506
945170,ybcY,b0562
945171,tfaD,b0561
945172,nohD,b0560
945173,loiP,b2936
945174,rusA,b0550
945175,ybcW,b0559
945176,ybfD,b0706
945177,quuD,b0551
945178,ybcV,b0558
945179,wbbH,b2035
945180,fepE,b0587
945181,fes,b0585
945182,hybC,b2994
945183,tfaX,b0563
945184,entF,b0586
945185,ompT,b0565
945186,ybcH,b0567
945187,napD,b2207
945188,cusF,b0573
945189,cusB,b0574
945190,rpmA,b3185
945191,cusA,b0575
945192,yedE,b1929
945193,fepA,b0584
945194,entD,b0583
945195,ylbF,b0520
945196,iscX,b2524
945197,mhpA,b0347
945198,thrC,b0004
945199,pheP,b0576
945200,insL1,b0582
