Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	157	31.027667984189723	4.719293667333839E-23	946957, 948364, 946552, 945642, 947939, 948522, 948695, 948490, 947800, 947801, 947802, 947369, 947803, 948313, 948869, 944919, 948310, 948721, 947874, 948683, 944791, 948689, 949116, 948531, 946680, 948278, 944798, 947293, 944799, 946349, 945226, 945536, 947497, 947049, 948300, 948483, 945368, 946975, 947724, 947723, 947184, 947103, 946806, 947816, 947818, 946888, 947819, 948242, 947289, 947820, 948433, 947313, 947051, 946812, 948434, 946153, 948103, 946941, 945618, 949040, 947715, 947907, 947175, 948258, 947807, 944775, 947806, 948254, 946662, 945198, 947804, 947894, 947810, 945190, 946368, 945695, 947797, 945248, 947814, 947811, 947474, 947798, 945556, 947793, 947792, 946802, 947795, 946952, 947372, 945240, 947791, 945310, 947577, 946240, 944964, 947590, 945686, 947703, 948124, 946516, 945109, 946515, 944958, 946459, 948455, 947845, 948456, 948763, 947846, 948126, 945258, 945476, 947115, 944839, 945076, 947002, 947972, 948778, 947081, 946648, 946916, 945519, 948908, 946229, 947457, 948504, 948087, 945846, 947967, 945067, 948470, 945276, 945279, 949000, 946789, 948911, 948479, 946337, 946096, 949002, 948913, 947465, 945657, 945451, 945716, 945281, 946794, 946793, 948464, 946323, 944865, 944866, 948897, 948467, 948563, 945382, 944862	343	441	1837	1.9066724843484528	1.845243823927531E-20	1.845243823927531E-20	6.560696217255149E-20
GOTERM_BP_FAT	GO:0006412~translation	53	10.474308300395258	1.026887136686834E-11	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 948483, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 945618, 946941, 949002, 947175, 947807, 945657, 947806, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	115	1837	2.4682722778552413	4.015138665991458E-9	2.007569332995729E-9	1.4275680637609867E-8
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	53	10.474308300395258	3.3993533559651346E-10	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 948483, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 945618, 946941, 949002, 947175, 947807, 945657, 947806, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	124	1837	2.2891234834947802	1.329146943618298E-7	4.430490008200394E-8	4.7257331381445056E-7
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	53	10.474308300395258	3.3993533559651346E-10	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 948483, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 945618, 946941, 949002, 947175, 947807, 945657, 947806, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	124	1837	2.2891234834947802	1.329146943618298E-7	4.430490008200394E-8	4.7257331381445056E-7
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	56	11.067193675889328	3.704030176076683E-10	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 948483, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 946337, 945618, 946941, 949002, 949040, 947175, 947807, 945657, 947806, 945451, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	135	1837	2.2216175359032504	1.4482757881850716E-7	3.6206896703028235E-8	5.149291437689385E-7
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	56	11.067193675889328	3.5814290127999146E-9	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 948483, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 946337, 945618, 946941, 949002, 949040, 947175, 947807, 945657, 947806, 945451, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	142	1837	2.112101178499569	1.4003377775129167E-6	2.8006771235489225E-7	4.978852574666348E-6
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	63	12.450592885375494	1.1015917874810723E-7	948364, 946552, 945642, 947939, 946240, 948522, 947590, 946516, 945109, 946515, 948313, 946495, 948455, 948456, 948310, 948126, 945258, 947927, 947115, 947084, 948531, 946680, 948278, 944798, 945528, 945076, 945227, 945226, 947081, 946915, 947724, 947723, 945519, 945031, 946229, 948087, 946888, 945846, 947289, 947967, 948433, 947313, 945376, 946789, 945370, 948434, 946337, 949040, 948913, 947465, 948258, 944775, 945451, 945198, 945281, 948464, 945387, 945384, 946802, 948469, 946952, 948563, 944862	343	182	1837	1.8538910069522316	4.3071313679310386E-5	7.178681112329777E-6	1.5314164467650215E-4
GOTERM_BP_FAT	GO:0010467~gene expression	56	11.067193675889328	4.71672254351196E-7	945310, 947577, 948490, 947800, 947801, 947802, 947803, 947369, 947845, 947846, 948721, 947874, 948689, 949116, 946349, 947002, 947497, 945536, 944744, 948483, 948906, 947103, 947816, 947818, 947819, 947820, 945279, 949000, 947051, 948103, 945618, 946941, 949002, 947175, 947807, 945657, 947806, 947804, 947894, 947810, 945190, 946793, 947797, 947814, 947696, 947811, 947798, 947793, 947792, 944865, 947795, 944866, 947372, 947791, 948897, 945382	343	160	1837	1.874489795918367	1.8440688990950527E-4	2.6345923647252967E-5	6.557101925541708E-4
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	69	13.636363636363635	6.491854597954765E-7	948364, 946552, 945642, 947939, 946240, 948522, 947590, 948124, 945109, 946516, 946515, 948313, 946495, 948455, 944919, 946459, 948456, 948310, 948126, 945258, 947927, 947115, 947084, 948531, 946680, 944798, 948278, 945528, 945076, 945227, 945226, 947081, 946915, 947724, 947723, 945519, 946806, 945031, 945032, 946229, 948087, 946888, 945846, 947289, 947967, 948433, 945067, 947313, 945376, 946789, 945370, 948434, 946337, 949040, 948913, 947465, 948258, 944775, 945451, 945198, 945281, 948464, 945387, 946802, 945384, 948469, 946952, 948563, 944862	343	215	1837	1.7188012746626888	2.5379938467251506E-4	3.172844629051319E-5	9.024847899663513E-4
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	54	10.67193675889328	7.585028468725453E-7	948364, 946552, 945642, 947939, 946240, 948522, 947590, 946516, 946515, 948313, 946495, 948455, 948456, 948310, 945258, 947927, 947115, 947084, 948531, 946680, 948278, 944798, 945528, 945076, 945227, 945226, 947081, 946915, 947724, 947723, 945031, 948087, 947289, 947967, 948433, 947313, 945376, 946789, 945370, 948434, 948913, 947465, 948258, 944775, 945198, 945281, 948464, 945387, 945384, 946802, 946952, 948469, 944862, 948563	343	154	1837	1.877967513536027	2.9653075166391485E-4	3.295220435317603E-5	0.0010544549162938566
