Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	124	36.57817109144543	3.114318976097343E-23	946957, 946551, 946552, 945642, 946204, 948360, 948361, 948490, 947800, 947684, 947801, 947802, 947803, 944919, 946175, 948721, 947686, 948723, 948079, 947874, 944791, 946877, 946549, 948278, 944798, 946544, 945527, 944799, 946349, 948489, 948370, 948484, 948483, 945435, 947724, 947723, 947726, 948247, 948244, 947818, 948245, 947817, 946888, 947819, 944761, 948241, 945768, 948242, 947820, 946153, 948435, 946941, 947719, 949031, 946946, 947807, 944775, 944818, 948254, 945198, 947804, 948252, 944813, 948253, 944814, 947809, 947894, 947808, 947810, 945190, 947692, 945553, 947691, 947797, 947813, 947814, 947811, 947798, 945691, 947793, 947792, 947795, 945097, 947791, 945787, 947838, 945682, 945484, 945485, 946516, 945109, 947784, 947847, 947846, 945258, 947828, 945076, 949051, 946502, 947971, 947096, 948504, 947966, 946531, 947965, 947967, 948080, 947961, 949000, 948911, 946096, 948785, 945657, 948216, 945281, 946794, 946521, 948463, 948157, 947022, 946321, 948792, 944866, 945382	241	441	1837	2.143261730695044	1.0931259606101673E-20	1.0931259606101673E-20	4.261195188106322E-20
GOTERM_BP_FAT	GO:0006412~translation	51	15.04424778761062	3.48341236035754E-17	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 944866, 947791, 945382	241	115	1837	3.380371639906188	1.2226777384854965E-14	6.113388692427483E-15	4.7662105590566443E-14
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	54	15.929203539823009	9.543043382139343E-16	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947691, 947813, 947797, 947814, 947022, 947811, 947798, 948792, 947793, 947792, 947795, 944866, 947791, 945382	241	135	1837	3.04896265560166	3.5071945347908695E-13	1.1690648449302898E-13	1.3655743202889425E-12
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	51	15.04424778761062	1.8905069333274648E-15	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 944866, 947791, 945382	241	124	1837	3.1350220853968676	6.624700787938309E-13	1.6564527527407336E-13	2.5868196473766147E-12
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	51	15.04424778761062	1.8905069333274648E-15	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 944866, 947791, 945382	241	124	1837	3.1350220853968676	6.624700787938309E-13	1.6564527527407336E-13	2.5868196473766147E-12
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	54	15.929203539823009	1.1670366824456406E-14	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947691, 947813, 947797, 947814, 947022, 947811, 947798, 948792, 947793, 947792, 947795, 944866, 947791, 945382	241	142	1837	2.8986616796212967	4.0917269572560144E-12	8.183453914512029E-13	1.59539048638635E-11
GOTERM_BP_FAT	GO:0010467~gene expression	51	15.04424778761062	1.9329630738646058E-10	947838, 948490, 945484, 947800, 947801, 947684, 947802, 947803, 947784, 947847, 947846, 948721, 948723, 947686, 948079, 947828, 947874, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 947820, 948080, 949000, 948785, 946941, 947807, 945657, 947804, 948216, 947809, 947808, 947894, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 944866, 947791, 945382	241	160	1837	2.4296421161825728	6.784698769468633E-8	1.1307831560003478E-8	2.644793717365701E-7
GOTERM_BP_FAT	GO:0034645~cellular macromolecule biosynthetic process	72	21.238938053097346	3.3245227249604227E-6	947838, 948490, 945154, 945484, 947573, 947800, 947684, 947801, 947802, 947803, 947784, 945393, 946175, 947847, 947846, 948721, 948722, 948723, 947686, 947828, 948079, 947874, 944791, 944799, 946349, 948489, 948484, 948483, 947096, 947818, 947817, 947819, 944761, 948241, 947820, 948080, 948145, 948148, 944877, 949000, 946153, 946096, 946941, 948785, 947807, 945657, 944818, 947804, 944813, 948216, 947809, 944814, 947894, 947808, 944815, 948298, 947810, 945190, 947692, 947813, 947797, 947814, 947811, 946321, 945862, 947798, 947793, 947792, 947795, 944866, 947791, 945382	241	337	1837	1.6285260475023702	0.0011662288421405709	1.6668745127212947E-4	0.004548712478502637
GOTERM_BP_FAT	GO:0009098~leucine biosynthetic process	10	2.949852507374631	4.7851877459150254E-5	949051, 947966, 945076, 947965, 945642, 947967, 947961, 948278, 944798, 947971	241	16	1837	4.764004149377593	0.01665613761276452	0.0020973488414078867	0.06545390153689379
GOTERM_BP_FAT	GO:0006551~leucine metabolic process	10	2.949852507374631	4.7851877459150254E-5	949051, 947966, 945076, 947965, 945642, 947967, 947961, 948278, 944798, 947971	241	16	1837	4.764004149377593	0.01665613761276452	0.0020973488414078867	0.06545390153689379
