"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"YP_003043986.1","0.856405","0.967743","0.774197","8.553628","8.741047","8.746464","152.681246"
"YP_003045246.1","0.621242","0.507457","0.624944","5.999956","6.000036","48.014951","146.986188"
"YP_003043980.1","0.492704","0.656658","0.999846","7.919456","8.213516","8.213524","217.298874"
"YP_003043822.1","0.974661","0.834632","0.27829","4.002926","16.471825","22.928335","174.302135"
"YP_003046796.1","0.550935","0.85699","1.006372","3.488732","6.219581","6.219584","180.323448"
"YP_003046223.1","0.999808","0.813144","0.886337","1.8223","10.140639","11.446823","221.520562"
"YP_003045863.1","0.912347","0.780915","0.477426","8.165797","8.242976","36.624115","193.349067"
"YP_003043396.1","0.999998","0.642557","0.58086","3.307608","8.653816","16.622812","180.242437"
"YP_003046794.1","0.938909","0.810372","0.80975","5.99998","22.543747","35.763815","180.022955"
"YP_003046974.1","0.929658","0.7149","0.78874","4.635293","4.635437","40.334793","55.150416"
"YP_003046221.1","0.844899","0.954926","0.988656","7.93997","8.035943","20.89151","168.807724"
"YP_003043287.1","0.729489","0.784226","1.000002","8.77935","13.836105","16.579599","255.436654"
"YP_003045411.1","0.815239","0.64174","0.998557","6.141501","8.291042","24.000063","175.687158"
"YP_003044849.1","0.198166","0.956332","0.819228","5.000003","13.866001","21.342955","169.514957"
"YP_003046792.1","0.808588","0.796984","0.881113","9.14594","9.146845","12.68399","204.144715"
"YP_003043535.1","0.845482","0.684575","0.900563","7.983346","14.618871","14.702936","178.873717"
"YP_003044958.1","0.178952","0.67322","0.855225","7.999964","8.000039","27.076678","173.545098"
"YP_003046231.1","0.999724","0.671452","0.691769","2.933006","6.960647","35.544641","163.111581"
"YP_003047004.1","0.089008","0.206492","0.611709","13.497195","13.49847","24.208545","186.2627"
"YP_003045928.1","0.867033","0.772091","0.955086","6.421408","6.423346","24.681948","126.807941"
"YP_003046278.1","0.926417","0.577855","0.852512","3.000031","7.015457","7.015479","184.094972"
"YP_003045407.1","0.798817","0.22094","0.203588","6.226","11.451104","11.451886","181.746068"
"YP_003045695.1","0.797007","0.63639","0.963914","11.492531","23.999991","23.999994","155.570429"
"YP_003046274.1","0.983003","0.721798","0.757771","2.999966","10.60943","27.948934","155.917062"
"YP_003047397.1","0.766726","0.029337","-0.00352","8.052625","8.062578","30.414618","60.944666"
"YP_003045926.1","0.780307","0.50785","0.275927","6.000011","15.176259","29.187459","163.989322"
"YP_003046276.1","0.383845","0.608422","0.893694","12.442223","32.159775","32.90146","146.663974"
"YP_003046485.1","0.098232","0.864585","0.99297","6.298352","15.001688","15.001865","183.444842"
"YP_003045256.1","0.890141","0.492814","0.612229","7.178197","13.475325","35.431262","251.803566"
"YP_003045179.1","0.005765","0.656626","0.887622","7.911567","11.306171","48.502191","134.378873"
"YP_003046252.1","0.770753","0.36241","0.346388","6.909446","14.435318","23.624278","167.995511"
"YP_003046591.1","0.847371","0.760747","0.996213","1.318009","8.168958","8.213724","170.57391"
"YP_003043800.1","0.698945","0.901976","0.76025","11.922319","23.548908","26.616634","157.762694"
"YP_003045687.1","0.90949","0.669584","0.270778","4.006822","24.459499","46.772099","164.223954"
"YP_003046250.1","0.999974","0.035258","-0.00012","1.787168","15.012647","34.703608","152.30387"
"YP_003047248.1","0.350516","0.859188","0.325435","4.34203","11.189568","42.376742","305.117227"
"YP_003043825.1","0.856197","0.027932","0.031874","4.999999","9.815617","27.301375","173.203627"
"YP_003044984.1","0.393366","0.878014","0.997257","3.4e-05","6.703269","20.04334","189.442067"
"YP_003046202.1","0.625265","0.840088","0.985707","4.431984","15.165365","22.428046","143.221492"
"YP_003047037.1","0.971735","0.971647","0.980741","4.426631","13.030644","29.507605","166.373549"
"YP_003046260.1","0.596617","0.997594","0.404797","3","10.072379","10.072406","152.375784"
"YP_003047189.1","0.301698","0.667111","0.919982","8.000031","8.000063","8.554187","194.603999"
"YP_003044772.1","0.488688","0.958394","0.77108","4.248644","6.049141","27.62508","181.928507"
"YP_003043982.1","0.959093","0.345311","0.260858","4.013006","9.030476","34.809777","172.859286"
"YP_003043611.1","0.778778","1","0.748349","1.602011","9.433742","28.80993","167.999755"
"YP_003045313.1","0.821633","0.880984","0.922254","7.995689","17.959736","18.016366","159.725791"
"YP_003043820.1","0.96526","0.129398","0.467614","1.365408","11.008503","96.409556","284.25096"
"YP_003046920.1","0.508988","0.618109","1.039156","3.599481","4.632355","4.998969","186.612552"
"YP_003045522.1","0.345837","0.807426","0.3333","3","3","6.749072","90.725533"
"YP_003044755.1","0.427423","0.901957","0.875201","7.286671","10.586699","48.001734","172.465231"
"YP_003047399.1","0.899873","0.912019","0.885788","12.503155","12.934052","13.120741","203.962122"
"YP_003043642.1","0.258574","0.697529","0.608482","4.979108","4.999985","104.644897","104.671517"
"YP_003046148.1","0.251367","0.685153","0.675036","1.403924","2.999545","7.821153","187.267644"
"YP_003047182.1","0.733571","0.950777","0.681613","4.000346","5.248949","28.102291","235.051323"
"YP_003043905.1","0.945942","0.845843","0.856624","6.00023","7.999982","38.552355","173.776798"
"YP_003043399.1","0.828234","0.860761","0.940921","5.000022","5.000082","46.018609","251.246562"
"YP_003045523.1","0.72502","0.620711","0.902413","9.463342","40.502356","40.502562","51.637693"
"YP_003046494.1","0.551695","0.629665","1.006811","7.999994","7.999996","46.221317","221.882361"
"YP_003043818.1","0.949735","0.519131","0.391561","2.999997","10.070693","34.531383","173.820656"
"YP_003043698.1","0.961467","0.877414","0.868454","4.696804","8.11758","8.286154","177.137826"
"YP_003046496.1","0.892393","0.683557","0.797294","5.999152","6.002233","36.465825","168.380884"
"YP_003043816.1","0.060932","0.752499","0.911824","8.816448","25.383557","34.182685","165.10311"
"YP_003043901.1","0.652947","0.890884","0.909358","3.288874","4.624926","26.148249","185.846665"
"YP_003045090.1","0.699426","0.873298","0.984752","3.183584","5.999012","32.621739","180.644561"
"YP_003043921.1","0.797044","0.037067","0.163647","8.000722","29.670392","72.72902","234.547876"
"YP_003045584.1","0.862371","0.430064","0.569513","5.170747","8.695545","47.794359","156.265117"
"YP_003044589.1","0.78646","0.498471","0.331837","6.637353","9.191694","67.827584","157.748433"
"YP_003045603.1","0.226935","0.908171","0.874061","7.642762","9.401435","23.998613","172.390857"
"YP_003043826.1","0.943278","0.58776","0.974905","3.434052","6.003372","6.003722","166.042999"
"YP_003045379.1","0.428333","1","0.36954","4.606275","8.589542","24.712352","203.269889"
"YP_003045605.1","0.938008","0.802539","0.760366","5.000091","5.601729","13.728911","195.040012"
"YP_003043646.1","0.828039","0.858142","0.813835","11.479472","16.635668","26.487839","167.999707"
"YP_003045610.1","0.762781","0.883413","0.590637","7.482154","7.802782","7.804751","197.277656"
"YP_003046480.1","0.026471","0.860154","0.069753","7.070585","13.881296","21.822071","178.288348"
"YP_003045790.1","0.771323","0.108046","0.091994","23.999998","24","69.99367","96.210193"
"YP_003043917.1","0.827063","0.127308","0.000821","0.868649","46.944017","46.986111","185.479328"
"YP_003046864.1","0.568077","0.715786","0.714882","0.641149","8","8.000006","245.633172"
"YP_003046135.1","0.018679","0.57025","0.865841","10.733124","25.72924","67.308469","159.151124"
"YP_003045353.1","0.999996","0.789743","0.751066","3.044986","5.939857","24.82237","171.71687"
"YP_003043588.1","0.999978","0.671708","0.807329","2.615047","6.152832","20.451014","177.044664"
"YP_003045580.1","1","0.868252","0.824188","3.86966","9.381417","9.381443","207.047942"
"YP_003046443.1","0.999998","0.709809","0.609746","2.884268","12.596106","22.83158","174.365588"
"YP_003043482.1","0.131191","0.979504","0.692654","7.999999","8","31.358573","170.57629"
"YP_003044851.1","0.644663","0.937418","0.847582","5.003624","9.637678","25.338996","185.854587"
"YP_003046315.1","0.959388","0.832106","0.721702","6.000653","9.702315","18.808386","162.296175"
"YP_003043670.1","0.980844","0.268431","0.703175","3.173923","9.69545","75.747375","189.030731"
"YP_003046441.1","0.502933","0.876912","1.000052","7.024864","11.588319","168.1565","321.204608"
"YP_003043341.1","0.87286","0.434297","0.878803","3.122553","10.003413","11.528177","38.374393"
"YP_003044108.1","0.862102","0.60495","0.986958","6.949863","10.771031","10.771035","325.455443"
"YP_003045297.1","0.832505","0.003354","0.04418","2.999841","9.174436","33.004881","170.064861"
"YP_003046127.1","0.083683","0.908057","0.992826","10.221028","23.939473","23.939507","271.199913"
"YP_003045636.1","0.882784","0.557775","0.249681","6.000892","6.000917","82.399189","245.985459"
"YP_003043937.1","0.520902","0.825546","0.174428","3.999997","5.000008","8.700459","164.116569"
"YP_003046121.1","0.479824","0.883973","0.375991","2.844296","3.953848","3.953857","173.217662"
"YP_003043931.1","0.999995","0.587283","0.562106","2.739913","6.256973","26.506763","178.816459"
"YP_003043494.1","0.822338","0.253337","0.061094","15.664388","15.718766","38.11948","51.758167"
"YP_003045609.1","0.611838","0.226239","0.554857","29.624607","29.624644","29.624652","144.896111"
"YP_003043344.1","0.910867","0.968427","0.96351","8.531137","11.640483","26.232245","174.340673"
"YP_003046448.1","0.891896","0.914511","0.915373","4.000017","22.027547","22.638308","170.981459"
"YP_003043888.1","0.99997","0.814402","0.873895","3.150776","4.170806","8.621439","198.811571"
"YP_003044836.1","0.788971","0.579645","0.717658","5.912783","5.999997","6.00003","169.401692"
"YP_003044388.1","0.468551","0.920006","0.689593","3.428558","5.361977","18.428868","123.270022"
"YP_003046454.1","0.432302","0.036733","0.000255","10.921913","21.322599","34.209569","191.82157"
"YP_003045512.1","0.984069","0.653309","0.606199","3.079581","15.681136","24.012145","146.010662"
"YP_003045732.1","0.803459","0.80462","0.929803","1.4e-05","19.893931","23.403318","164.060297"
"YP_003045710.1","0.078675","0.356141","0.861397","8.001173","10.165165","10.196286","175.542091"
"YP_003044106.1","0.51806","0.784092","0.544963","3.999998","4.000004","6.075277","192.011977"
"YP_003045281.1","0.738597","0.237064","0.05117","6.849688","17.285204","17.285879","175.484717"
"YP_003043511.1","0.073165","0.914405","0.898777","7.274895","14.668308","31.661663","170.673489"
"YP_003043370.1","0.475383","0.977193","0.414037","6","6","30.738552","175.392827"
"YP_003045614.1","0.534906","0.437608","0.688064","0.084308","31.597625","31.667881","111.244858"
"YP_003046827.1","0.933281","0.832052","0.954297","4.378552","16.273445","16.456743","195.670616"
"YP_003045401.1","0.975031","0.806831","0.8216","5.253393","6.207748","31.814413","152.518086"
"YP_003044593.1","0.866761","0.02967","0.512928","2.904747","3.015046","5.999995","182.314294"
"YP_003045720.1","0.01794","0.778428","0.61975","7.691892","8","20.844343","171.468967"
"YP_003044931.1","0.508594","0.846288","0.969195","0.000104","11.755224","75.813714","268.645543"
"YP_003046198.1","0.832511","0.734802","0.621126","7.999964","11.358482","23.992553","154.600071"
"YP_003047260.1","0.718876","0.825475","0.972756","8.912461","23.995032","38.590134","148.656007"
"YP_003043648.1","0.663534","0.957664","0.872543","5.680863","7.301747","7.301981","155.874835"
"YP_003044933.1","0.588735","0.751356","0.469359","4.705595","4.706285","23.426205","145.132473"
"YP_003044394.1","0.24736","0.790633","0.531931","2.937273","2.969442","45.694677","335.999942"
"YP_003047240.1","0.539852","0.841596","0.485731","2.897277","2.898901","2.952644","197.835999"
"YP_003045096.1","0.796115","0.567376","0.535667","0.001549","9.044667","22.477764","125.567668"
"YP_003046433.1","0.841207","0.597197","0.502715","5.716439","8.098538","14.299772","322.08034"
"YP_003044263.1","0.808087","0.836557","0.980257","4.000008","13.920684","40.828191","167.999833"
"YP_003045728.1","0.932468","0.794454","0.489327","15.626865","15.63105","36.142309","233.572642"
"YP_003044469.1","0.807056","0.831147","0.763944","3.980826","6.208418","45.304577","255.28437"
"YP_003047270.1","0.674446","0.877518","0.872764","4.709337","4.760717","28.722948","177.348856"
"YP_003046843.1","0.914087","0.902466","0.54072","21.539221","21.909243","23.996625","158.301"
"YP_003044474.1","0.939809","0.686419","0.658288","7.532584","7.999984","36.311024","170.055937"
"YP_003046859.1","0.853635","0.643557","0.524371","7.454318","15.064453","15.064455","183.143866"
