"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00001","0.131887","0.146134","0.274233","6.00352","8.57979","48.00129","159.614357"
"ECB_00002","0.758947","0.013988","0.138795","6.103543","9.713","23.71085","179.211382"
"ECB_00003","0.813286","0.02392","0.124925","1.313175","24.290204","40.052963","163.590513"
"ECB_00004","0.815156","0.013765","0.022105","6.001967","9.14649","9.146524","168.679023"
"ECB_00007","0.236008","2e-06","0.825226","22.258236","22.924777","50.297537","167.81119"
"ECB_00010","0.824335","0.308476","0.56358","4.899679","10.912897","48.000005","184.452531"
"ECB_00013","0.012702","0","0.337467","0.299035","21.069963","21.070801","188.053531"
"ECB_00014","0.399211","0.064294","0.163497","14.573407","14.745713","48.329034","140.697107"
"ECB_00015","0.790469","0.079076","0.230943","0.001302","27.184769","142.799316","145.033437"
"ECB_00016","0.897913","0","0.50734","6.890722","12.026843","17.287876","149.050704"
"ECB_00024","0.61067","0.1433","0.640269","5.891813","23.999999","29.079231","206.616426"
"ECB_00026","0.73484","0.000245","0.011686","4.999953","7.813098","21.043521","178.424545"
"ECB_00028","0.320465","0.001955","0.555417","1.55537","7.080439","51.651823","160.926251"
"ECB_00029","0.663558","0.055057","0.32605","5.000001","8.732661","139.722361","219.248829"
"ECB_00030","0.819895","0.039539","0.103782","7.999941","8.00003","24.347754","193.403561"
"ECB_00031","0.877331","0.001313","0.111203","23.968704","24.000188","24.001068","171.529416"
"ECB_00032","0.892345","0.093685","0.183254","6.000001","6.001602","25.765248","245.006399"
"ECB_00035","0.726089","0.049846","0.30259","7.78637","9.09167","49.317969","191.09693"
"ECB_00036","0.667818","0.065775","0.299188","10.474327","23.955067","23.999921","151.534328"
"ECB_00037","0.688705","0.003852","0.034145","6.000001","8.763195","30.621363","181.606157"
"ECB_00040","9e-05","0.023444","0.039907","3.679836","4.691367","44.31211","184.926203"
"ECB_00041","0.00039","0.033505","1.00225","1.748461","1.748651","50.78612","215.771522"
"ECB_00042","0.168748","0.007698","1.000484","1.23847","1.328188","54.173179","189.231968"
"ECB_00051","0.709214","0.369049","0.611334","9.432662","9.432688","36.098152","160.051064"
"ECB_00052","0.057087","0.527801","0.186851","6.004034","17.945918","170.231015","260.161796"
"ECB_00055","0.813457","0.311313","0.414823","6.212937","8.180046","47.796877","171.960867"
"ECB_00056","0.484044","0.002978","0.098081","0.732187","26.825744","26.845245","154.052821"
"ECB_00057","0.876618","0.047218","0.203589","6.001145","9.433162","34.095089","172.893745"
"ECB_00060","0.72288","0.438272","0.493856","23.133831","24.630157","39.764113","152.59362"
"ECB_00063","0.035022","0","0.813926","3.683133","13.618925","23.205581","162.615208"
"ECB_00064","0.022986","0.557798","0.597851","6.007213","8.541137","37.57065","149.116686"
"ECB_00065","0.005341","0.311267","0.471123","6.408346","10.528002","24.000219","164.442754"
"ECB_00066","0.016087","0.160466","0.674883","4.758644","17.199953","31.276845","167.998184"
"ECB_00070","0.986595","0.010936","0.251454","2.918375","6.501256","52.443576","164.191874"
"ECB_00072","0.744193","0.38641","1.00051","11.29949","11.299532","23.829671","171.234229"
"ECB_00073","0.734693","0.004401","0.035766","6.000626","8.98346","34.159696","169.015665"
"ECB_00074","0.798398","0","0.035567","6.549032","8.558238","29.394129","158.675336"
"ECB_00075","0.84249","0.01195","0.083551","6.00001","8.75018","27.211155","171.545781"
"ECB_00078","0.365044","0.098346","0.750785","0.006894","2.958504","37.486048","167.997379"
"ECB_00081","0.296401","0.337278","0.386979","5.729641","7.999999","41.426843","151.278352"
"ECB_00084","0.350801","0.585803","0.921052","5.947264","8.295823","48.048179","151.875714"
"ECB_00085","0.525682","0.04097","0.118722","0.001067","32.819359","38.498918","149.341772"
"ECB_00086","0.815617","0.038667","0.066941","6.00058","12.729647","25.891002","174.875304"
"ECB_00087","0.639129","0.092841","0.051885","6.051954","13.510346","24.553162","167.905813"
"ECB_00088","0.796498","0.101317","0.195342","6.200329","12.522761","24.608425","168.000401"
"ECB_00089","0.786552","0.121156","0.130944","7.999997","8.000019","29.515049","168.484763"
"ECB_00090","0.801033","0","0.200104","6.004865","10.931598","31.856418","165.286714"
