"Protein_id","short.name","mRNA_ID","b.name","start.point","stop.point","length","operon.name"
"YP_003043230.1","thrL","ECB_00001","b0001",190,255,65,"thrLABC"
"YP_003043231.1","thrA","ECB_00002","b0002",337,2799,2462,"thrLABC"
"YP_003043232.1","thrB","ECB_00003","b0003",2801,3733,932,"thrLABC"
"YP_003043233.1","thrC","ECB_00004","b0004",3734,5020,1286,"thrLABC"
"YP_003043234.1","yaaX","ECB_00005","b0005",5234,5530,296,"yaaX"
"YP_003043235.1","yaaA","ECB_00006","b0006",5683,6459,776,"yaaA"
"YP_003043236.1","yaaJ","ECB_00007","b0007",6529,7959,1430,"yaaJ"
"YP_003043237.1","talB","ECB_00008","b0008",8238,9191,953,"talB"
"YP_003043238.1","mogA","ECB_00009","b0009",0,0,0,"no_op"
"YP_003043239.1","yaaH","ECB_00010","b0010",0,0,0,"no_op"
"YP_003043242.1","yaaI","ECB_00013","b0013",11382,11786,404,"yaaI"
"YP_003043243.1","dnaK","ECB_00014","b0014",12163,14079,1916,"dnaK-tpke11-dnaJ"
"YP_003043244.1","dnaJ","ECB_00015","b0015",14168,15298,1130,"dnaK-tpke11-dnaJ"
"YP_003043245.1","insL-1","ECB_00016","b0016",15445,16557,1112,"insL-1"
"YP_003043246.1","mokC","ECB_00017","b0018",16751,16960,209,"mokC-hokC"
"YP_003043248.1","nhaA","ECB_00018","b0019",17489,18655,1166,"nhaAR"
"YP_003043249.1","nhaR","ECB_00019","b0020",18715,19620,905,"nhaAR"
"YP_003043254.1","insB-1","ECB_00024","b0021",19811,20314,503,"insAB-1A-1B-1"
"YP_003043253.1","insA-1","ECB_00023","b0022",20233,20508,275,"insAB-1A-1B-1"
"YP_003043257.1","rpsT","ECB_00027","b0023",20815,21078,263,"rpsT"
"YP_003043258.1","yaaY","ECB_00028","b0024",21181,21399,218,"no_op"
"YP_003043259.1","ribF","ECB_00029","b0025",21407,22348,941,"ribF-ileS-lspA-fkpB-ispH"
"YP_003043260.1","ileS","ECB_00030","b0026",22391,25207,2816,"ribF-ileS-lspA-fkpB-ispH"
"YP_003043261.1","lspA","ECB_00031","b0027",25207,25701,494,"ribF-ileS-lspA-fkpB-ispH"
"YP_003043262.1","fkpB","ECB_00032","b0028",25826,26275,449,"ribF-ileS-lspA-fkpB-ispH"
"YP_003043263.1","ispH","ECB_00033","b0029",26277,27227,950,"ribF-ileS-lspA-fkpB-ispH"
"YP_003043264.1","rihC","ECB_00034","b0030",27293,28207,914,"rihC"
"YP_003043265.1","dapB","ECB_00035","b0031",28374,29195,821,"dapB"
"YP_003043266.1","carA","ECB_00036","b0032",29651,30799,1148,"carAB"
"YP_003043267.1","carB","ECB_00037","b0033",30817,34038,3221,"carAB"
"YP_003043268.1","caiF","ECB_00038","b0034",34300,34695,395,"caiF"
"YP_003043269.1","caiE","ECB_00039","b0035",34781,35371,590,"caiTABCDE"
"YP_003043270.1","caiD","ECB_00040","b0036",35377,36162,785,"caiTABCDE"
"YP_003043271.1","caiC","ECB_00041","b0037",36271,37824,1553,"caiTABCDE"
"YP_003043272.1","caiA","ECB_00043","b0039",39244,40386,1142,"caiTABCDE"
"YP_003043273.1","caiT","ECB_00044","b0040",40417,41931,1514,"caiTABCDE"
"YP_003043274.1","fixA","ECB_00045","b0041",42403,43173,770,"fixABCX"
"YP_003043275.1","fixB","ECB_00046","b0042",43188,44129,941,"fixABCX"
"YP_003043276.1","fixC","ECB_00047","b0043",44180,45466,1286,"fixABCX"
"YP_003043277.1","fixX","ECB_00048","b0044",45463,45750,287,"fixABCX"
"YP_003043278.1","yaaU","ECB_00049","b0045",45807,47138,1331,"yaaU"
"YP_003043279.1","yabF","ECB_00050","b0046",0,0,0,"no_op"
"YP_003043280.1","kefC","ECB_00051","b0047",47769,49631,1862,"kefFC"
"YP_003043281.1","folA","ECB_00052","b0048",49823,50302,479,"folA"
"YP_003043282.1","apaH","ECB_00053","b0049",50380,51222,842,"lptD-surA-pdxA-rsmA-apaGH"
"YP_003043283.1","apaG","ECB_00054","b0050",51229,51606,377,"lptD-surA-pdxA-rsmA-apaGH"
"YP_003043284.1","ksgA","ECB_00055","b0051",0,0,0,"no_op"
"YP_003043285.1","pdxA","ECB_00056","b0052",52427,53416,989,"lptD-surA-pdxA-rsmA-apaGH"
"YP_003043286.1","surA","ECB_00057","b0053",53416,54702,1286,"lptD-surA-pdxA-rsmA-apaGH"
"YP_003043287.1","imp","ECB_00058","b0054",0,0,0,"no_op"
"YP_003043288.1","djlA","ECB_00059","b0055",57364,58179,815,"djlA"
"YP_003043289.1","rluA","ECB_00060","b0058",59687,60346,659,"rapA-rluA"
"YP_003043290.1","hepA","ECB_00061","b0059",60358,63264,2906,"rapA-rluA"
"YP_003043291.1","polB","ECB_00062","b0060",63429,65780,2351,"polB"
"YP_003043292.1","araD","ECB_00063","b0061",65855,66550,695,"araBAD"
"YP_003043293.1","araA","ECB_00064","b0062",66835,68337,1502,"araBAD"
"YP_003043294.1","araB","ECB_00065","b0063",68348,70048,1700,"araBAD"
"YP_003043295.1","araC","ECB_00066","b0064",70387,71265,878,"araC"
"YP_003043296.1","yabI","ECB_00067","b0065",71351,72115,764,"yabI"
"YP_003043297.1","thiQ","ECB_00068","b0066",72229,72927,698,"sgrR-sroA-tbpA-thiPQ"
"YP_003043298.1","thiP","ECB_00069","b0067",72911,74521,1610,"sgrR-sroA-tbpA-thiPQ"
"YP_003043299.1","tbpA","ECB_00070","b0068",74497,75480,983,"sgrR-sroA-tbpA-thiPQ"
"YP_003043300.1","yabN","ECB_00071","b0069",0,0,0,"no_op"
"YP_003043301.1","setA","ECB_00072","b0070",77621,78799,1178,"sgrST-setA"
"YP_003043302.1","leuD","ECB_00073","b0071",78848,79453,605,"leuLABCD"
"YP_003043303.1","leuC","ECB_00074","b0072",79464,80864,1400,"leuLABCD"
"YP_003043304.1","leuB","ECB_00075","b0073",80867,81958,1091,"leuLABCD"
"YP_003043305.1","leuA","ECB_00076","b0074",81958,83529,1571,"leuLABCD"
"YP_003043306.1","leuL","ECB_00077","b0075",83622,83708,86,"leuLABCD"
"YP_003043307.1","leuO","ECB_00078","b0076",84368,85312,944,"leuO"
"YP_003043308.1","ilvI","ECB_00079","b0077",85630,87354,1724,"ilvIH"
"YP_003043309.1","ilvH","ECB_00080","b0078",87357,87848,491,"ilvIH"
"YP_003043310.1","fruR","ECB_00081","b0080",0,0,0,"no_op"
"YP_003043725.1","rus","ECB_00500","b0080",0,0,0,"no_op"
"YP_003043311.1","yabB","ECB_00082","b0081",0,0,0,"no_op"
"YP_003043312.1","mraW","ECB_00083","b0082",0,0,0,"no_op"
"YP_003043313.1","ftsL","ECB_00084","b0083",91032,91397,365,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043314.1","ftsI","ECB_00085","b0084",91413,93179,1766,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043315.1","murE","ECB_00086","b0085",93166,94653,1487,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043316.1","murF","ECB_00087","b0086",94650,96008,1358,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043317.1","mraY","ECB_00088","b0087",96002,97084,1082,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043318.1","murD","ECB_00089","b0088",97087,98403,1316,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043319.1","ftsW","ECB_00090","b0089",98403,99647,1244,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043320.1","murG","ECB_00091","b0090",99644,100711,1067,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043321.1","murC","ECB_00092","b0091",100765,102240,1475,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043322.1","ddl","ECB_00093","b0092",0,0,0,"no_op"
"YP_003043555.1","ddl","ECB_00328","b0092",0,0,0,"no_op"
"YP_003043323.1","ftsQ","ECB_00094","b0093",103155,103985,830,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043324.1","ftsA","ECB_00095","b0094",103982,105244,1262,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043325.1","ftsZ","ECB_00096","b0095",105305,106456,1151,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043326.1","lpxC","ECB_00097","b0096",106557,107474,917,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003043327.1","yacA","ECB_00098","b0097",0,0,0,"no_op"
"YP_003043328.1","secA","ECB_00099","b0098",108279,110984,2705,"secMA-mutT"
"YP_003043329.1","mutT","ECB_00100","b0099",111044,111433,389,"secMA-mutT"
"YP_003043330.1","yacG","ECB_00101","b0101",111649,111846,197,"coaE-zapD-yacG"
"YP_003043331.1","yacF","ECB_00102","b0102",0,0,0,"no_op"
"YP_003043332.1","coaE","ECB_00103","b0103",112599,113219,620,"coaE-zapD-yacG"
"YP_003043333.1","guaC","ECB_00104","b0104",113444,114487,1043,"guaC"
"YP_003043334.1","hofC","ECB_00105","b0106",114522,115724,1202,"ppdD-hofBC"
"YP_003043335.1","hofB","ECB_00106","b0107",115714,117099,1385,"ppdD-hofBC"
"YP_003043336.1","ppdD","ECB_00107","b0108",117109,117549,440,"ppdD-hofBC"
"YP_003043337.1","nadC","ECB_00108","b0109",117752,118645,893,"nadC"
"YP_003043338.1","ampD","ECB_00109","b0110",118733,119284,551,"ampDE"
"YP_003043339.1","ampE","ECB_00110","b0111",119281,120135,854,"ampDE"
"YP_003043340.1","aroP","ECB_00111","b0112",120178,121551,1373,"aroP"
"YP_003043341.1","pdhR","ECB_00112","b0113",122092,122856,764,"pdhR-aceEF-lpd"
"YP_003043342.1","aceE","ECB_00113","b0114",123017,125680,2663,"pdhR-aceEF-lpd"
"YP_003043343.1","aceF","ECB_00114","b0115",125695,127587,1892,"pdhR-aceEF-lpd"
"YP_003043344.1","lpdA","ECB_00115","b0116",0,0,0,"no_op"
"YP_003043345.1","yacH","ECB_00116","b0117",129407,131260,1853,"yacH"
"YP_003043346.1","acnB","ECB_00117","b0118",131615,134212,2597,"acnB"
"YP_003043347.1","yacL","ECB_00118","b0119",134388,134750,362,"yacL"
"YP_003043348.1","speD","ECB_00119","b0120",134788,135582,794,"yacC-speED"
"YP_003043349.1","speE","ECB_00120","b0121",135598,136464,866,"yacC-speED"
"YP_003043350.1","yacC","ECB_00121","b0122",136570,136917,347,"yacC-speED"
"YP_003043351.1","cueO","ECB_00122","b0123",137083,138633,1550,"cueO"
"YP_003043352.1","gcd","ECB_00123","b0124",138835,141225,2390,"gcd"
"YP_003043353.1","hpt","ECB_00124","b0125",141431,141967,536,"hpt"
"YP_003043354.1","yadF","ECB_00125","b0126",0,0,0,"no_op"
"YP_003043355.1","yadG","ECB_00126","b0127",142779,143705,926,"yadGH"
"YP_003043356.1","yadH","ECB_00127","b0128",143702,144472,770,"yadGH"
"YP_003043357.1","yadI","ECB_00128","b0129",144577,145017,440,"yadI"
"YP_003043358.1","yadE","ECB_00129","b0130",145081,146310,1229,"yadE"
"YP_003043359.1","panD","ECB_00130","b0131",146314,146694,380,"panD"
"YP_003043360.1","yadD","ECB_00131","b0132",146968,147870,902,"yadD"
"YP_003043361.1","panC","ECB_00132","b0133",147944,148795,851,"panBC"
"YP_003043362.1","panB","ECB_00133","b0134",148807,149601,794,"panBC"
"YP_003043363.1","yadC","ECB_00134","b0135",149715,150953,1238,"yadMLKC"
"YP_003043364.1","yadK","ECB_00135","b0136",151003,151599,596,"yadMLKC"
"YP_003043365.1","yadL","ECB_00136","b0137",151626,152231,605,"yadMLKC"
"YP_003043366.1","yadM","ECB_00137","b0138",152243,152812,569,"yadMLKC"
"YP_003043367.1","htrE","ECB_00138","b0139",152829,155426,2597,"yadV-htrE"
"YP_003043369.1","yadN","ECB_00140","b0141",156299,156883,584,"yadN"
"YP_003043370.1","folK","ECB_00141","b0142",157253,157732,479,"pcnB-folK"
"YP_003043371.1","pcnB","ECB_00142","b0143",157729,159126,1397,"pcnB-folK"
"YP_003043372.1","yadB","ECB_00143","b0144",0,0,0,"no_op"
"YP_003043373.1","dksA","ECB_00144","b0145",160149,160604,455,"sfsA-dksA-gluQ"
"YP_003043374.1","sfsA","ECB_00145","b0146",160782,161486,704,"sfsA-dksA-gluQ"
"YP_003043375.1","ligT","ECB_00146","b0147",161501,162031,530,"thpR"
"YP_003043376.1","hrpB","ECB_00147","b0148",162105,164534,2429,"hrpB"
"YP_003043377.1","mrcB","ECB_00148","b0149",164730,167264,2534,"mrcB"
"YP_003043378.1","fhuA","ECB_00149","b0150",167484,169727,2243,"fhuACDB"
"YP_003043379.1","fhuC","ECB_00150","b0151",169778,170575,797,"fhuACDB"
"YP_003043380.1","fhuD","ECB_00151","b0152",170575,171465,890,"fhuACDB"
